PFAM	DUF	CS	GO	Ontology	Description	PFAMDescription	PFAMCount	DUFCount
PF13302	PF11367	Low	NA	NA	NA	Acetyltransferase (GNAT) domain	21839	2270
PF10664	PF11371	High	GO:0055114	BP	oxidation-reduction process	Cyanobacterial and plastid NDH-1 subunit M	400	4391
PF11267	PF11375	Low	NA	NA	NA	Domain of unknown function (DUF3067)	393	2113
PF11352	PF11375	Low	NA	NA	NA	Protein of unknown function (DUF3155)	393	2113
PF06545	PF11392	High	NA	NA	NA	Protein of unknown function (DUF1116)	1683	NA
PF12206	PF11436	High	NA	NA	NA	Domain of unknown function (DUF3599)	125	356
PF07511	PF11444	High	NA	NA	NA	Protein of unknown function (DUF1525)	610	2774
PF07515	PF11444	High	NA	NA	NA	Putative conjugal transfer nickase/helicase TraI C-term	814	2774
PF08900	PF11444	High	NA	NA	NA	Domain of unknown function (DUF1845)	793	2774
PF09686	PF11444	Very high	NA	NA	NA	Plasmid protein of unknown function (Plasmid_RAQPRD)	676	2774
PF11072	PF11444	Very high	NA	NA	NA	Protein of unknown function (DUF2859)	728	2774
PF11130	PF11444	Low	NA	NA	NA	F pilus assembly Type-IV secretion system for plasmid transfer	1694	2774
PF11190	PF11444	Very high	NA	NA	NA	Protein of unknown function (DUF2976)	660	2774
PF11198	PF11444	High	NA	NA	NA	Protein of unknown function (DUF2857)	767	2774
PF11358	PF11444	Low	NA	NA	NA	Protein of unknown function (DUF3158)	451	2774
PF11660	PF11444	Very high	NA	NA	NA	Protein of unknown function (DUF3262)	669	2774
PF11920	PF11444	Very high	NA	NA	NA	Protein of unknown function (DUF3438)	777	2774
PF11990	PF11444	Very high	NA	NA	NA	Protein of unknown function (DUF3487)	726	2774
PF12101	PF11444	High	NA	NA	NA	Protein of unknown function (DUF3577)	686	2774
PF14348	PF11444	High	NA	NA	NA	Domain of unknown function (DUF4400)	1112	2774
PF05650	PF11445	High	NA	NA	NA	Domain of unknown function (DUF802)	740	1397
PF11828	PF11445	Very high	NA	NA	NA	Protein of unknown function (DUF3348)	851	1397
PF13397	PF11452	Low	GO:0045893	BP	positive regulation of transcription, DNA-templated	RNA polymerase-binding protein	3186	1501
PF11737	PF11453	High	NA	NA	NA	Protein of unknown function (DUF3300)	1609	399
PF10716	PF11460	High	GO:0055114	BP	oxidation-reduction process	NADH dehydrogenase transmembrane subunit	355	1258
PF11497	PF11482	High	NA	NA	NA	NADH-quinone oxidoreductase chain 15	68	3772
PF12723	PF11482	High	NA	NA	NA	Protein of unknown function (DUF3809)	68	3772
PF03201	PF11576	High	NA	NA	NA	H2-forming N5,N10-methylene-tetrahydromethanopterin dehydrogenase	4	1
PF06787	PF11576	High	NA	NA	NA	Uncharacterised protein family (UPF0254)	4	1
PF00248	PF11578	Low	NA	NA	NA	Aldo/keto reductase family	22888	25
PF07883	PF11578	Low	NA	NA	NA	Cupin domain	23778	25
PF07521	PF11611	Low	NA	NA	NA	Zn-dependent metallo-hydrolase RNA specificity domain	20361	1198
PF11131	PF11631	High	NA	NA	NA	Rap-phr extracellular signalling	35	431
PF07511	PF11660	High	NA	NA	NA	Protein of unknown function (DUF1525)	610	1751
PF07515	PF11660	High	NA	NA	NA	Putative conjugal transfer nickase/helicase TraI C-term	814	1751
PF08900	PF11660	High	NA	NA	NA	Domain of unknown function (DUF1845)	793	1751
PF09686	PF11660	Very high	NA	NA	NA	Plasmid protein of unknown function (Plasmid_RAQPRD)	676	1751
PF11072	PF11660	High	NA	NA	NA	Protein of unknown function (DUF2859)	728	1751
PF11190	PF11660	Very high	NA	NA	NA	Protein of unknown function (DUF2976)	660	1751
PF11198	PF11660	High	NA	NA	NA	Protein of unknown function (DUF2857)	767	1751
PF11358	PF11660	High	NA	NA	NA	Protein of unknown function (DUF3158)	451	1751
PF11444	PF11660	Very high	NA	NA	NA	Protein of unknown function (DUF2895)	750	1751
PF11920	PF11660	High	NA	NA	NA	Protein of unknown function (DUF3438)	777	1751
PF11990	PF11660	Very high	NA	NA	NA	Protein of unknown function (DUF3487)	726	1751
PF12101	PF11660	High	NA	NA	NA	Protein of unknown function (DUF3577)	686	1751
PF14348	PF11660	High	NA	NA	NA	Domain of unknown function (DUF4400)	1112	1751
PF00391	PF11666	Low	GO:0016310	BP	phosphorylation	PEP-utilising enzyme, mobile domain	23611	1073
PF08241	PF11666	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	1073
PF12101	PF11679	Low	NA	NA	NA	Protein of unknown function (DUF3577)	686	1580
PF04839	PF11688	Low	GO:0006412	BP	translation	Plastid and cyanobacterial ribosomal protein (PSRP-3 / Ycf65)	394	2914
PF10718	PF11688	Low	NA	NA	NA	Hypothetical chloroplast protein Ycf34	384	2914
PF10742	PF11688	Low	NA	NA	NA	Protein of unknown function (DUF2555)	391	2914
PF11332	PF11688	Low	NA	NA	NA	Protein of unknown function (DUF3134)	399	2914
PF11352	PF11688	Low	NA	NA	NA	Protein of unknown function (DUF3155)	393	2914
PF11623	PF11688	Low	GO:0009767	BP	photosynthetic electron transport chain	NAD(P)H dehydrogenase subunit S	390	2914
PF11691	PF11688	Low	NA	NA	NA	Protein of unknown function (DUF3288)	394	2914
PF12058	PF11688	Low	NA	NA	NA	Protein of unknown function (DUF3539)	389	2914
PF00283	PF11691	Low	GO:0015979	BP	photosynthesis	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits	393	1978
PF00284	PF11691	Low	GO:0015979	BP	photosynthesis	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit	391	1978
PF02392	PF11691	Low	GO:0015979	BP	photosynthesis	Ycf4	387	1978
PF03912	PF11691	Low	GO:0015979	BP	photosynthesis	Psb28 protein	403	1978
PF08041	PF11691	Low	NA	NA	NA	PetM family of cytochrome b6f complex subunit 7	374	1978
PF08846	PF11691	Low	NA	NA	NA	Domain of unknown function (DUF1816)	389	1978
PF11688	PF11691	Low	NA	NA	NA	Protein of unknown function (DUF3285)	382	1978
PF12452	PF11691	Low	NA	NA	NA	Protein of unknown function (DUF3685)	396	1978
PF12681	PF11695	Low	NA	NA	NA	Glyoxalase-like domain	20821	1311
PF11453	PF11737	High	NA	NA	NA	Protein of unknown function (DUF2950)	1004	534
PF11749	PF11748	Very high	NA	NA	NA	Protein of unknown function (DUF3305)	1510	455
PF11748	PF11749	Very high	NA	NA	NA	Protein of unknown function (DUF3306)	1485	841
PF11269	PF11782	High	NA	NA	NA	Protein of unknown function (DUF3069)	336	36
PF11869	PF11782	Low	NA	NA	NA	Protein of unknown function (DUF3389)	323	36
PF01381	PF11784	Low	NA	NA	NA	Helix-turn-helix	24979	1890
PF13086	PF11784	High	NA	NA	NA	AAA domain	7593	1890
PF13087	PF11784	High	NA	NA	NA	AAA domain	9566	1890
PF13195	PF11784	High	NA	NA	NA	Protein of unknown function (DUF4011)	3032	1890
PF13245	PF11784	High	NA	NA	NA	AAA domain	10069	1890
PF09983	PF11795	High	NA	NA	NA	Uncharacterized protein conserved in bacteria C-term(DUF2220)	2637	1005
PF11855	PF11795	High	NA	NA	NA	Protein of unknown function (DUF3375)	1925	1005
PF13555	PF11795	Low	NA	NA	NA	P-loop containing region of AAA domain	4197	1005
PF13558	PF11795	High	NA	NA	NA	Putative exonuclease SbcCD, C subunit	12801	1005
PF13835	PF11795	High	NA	NA	NA	Domain of unknown function (DUF4194)	3352	1005
PF09660	PF11796	High	NA	NA	NA	Protein of unknown function (DUF2397)	1301	1764
PF09661	PF11796	High	NA	NA	NA	Protein of unknown function (DUF2398)	1252	1764
PF09664	PF11796	High	NA	NA	NA	Protein of unknown function C-terminus (DUF2399)	1286	1764
PF13558	PF11796	Low	NA	NA	NA	Putative exonuclease SbcCD, C subunit	12801	1764
PF12501	PF11812	High	GO:0006817	BP	phosphate ion transport	Phosphate ATP-binding cassette transporter	2809	1267
PF05650	PF11828	High	NA	NA	NA	Domain of unknown function (DUF802)	740	2060
PF11445	PF11828	Very high	NA	NA	NA	Protein of unknown function (DUF2894)	869	2060
PF08497	PF11842	High	NA	NA	NA	Radical SAM N-terminal	7319	220
PF10038	PF11843	High	NA	NA	NA	Protein of unknown function (DUF2274)	1255	1342
PF10074	PF11843	High	NA	NA	NA	Uncharacterized conserved protein (DUF2285)	1119	1342
PF11000	PF11843	High	NA	NA	NA	Protein of unknown function (DUF2840)	963	1342
PF03206	PF11844	High	GO:0009399	BP	nitrogen fixation	Nitrogen fixation protein NifW	1127	3142
PF03270	PF11844	High	NA	NA	NA	Protein of unknown function, DUF269	969	3142
PF04319	PF11844	High	GO:0009399	BP	nitrogen fixation	NifZ domain	1038	3142
PF04891	PF11844	High	GO:0009399	BP	nitrogen fixation	NifQ	1047	3142
PF05082	PF11844	High	NA	NA	NA	Rop-like	869	3142
PF06988	PF11844	High	GO:0009399	BP	nitrogen fixation	NifT/FixU protein	1038	3142
PF03683	PF11848	High	NA	NA	NA	Uncharacterised protein family (UPF0175)	1232	1872
PF11795	PF11855	High	NA	NA	NA	Uncharacterized protein conserved in bacteria N-term (DUF3322)	1264	738
PF13555	PF11855	Low	NA	NA	NA	P-loop containing region of AAA domain	4197	738
PF13558	PF11855	Low	NA	NA	NA	Putative exonuclease SbcCD, C subunit	12801	738
PF13835	PF11855	High	NA	NA	NA	Domain of unknown function (DUF4194)	3352	738
PF11041	PF11863	High	NA	NA	NA	Protein of unknown function (DUF2612)	605	NA
PF13262	PF11863	High	NA	NA	NA	Protein of unknown function (DUF4054)	612	NA
PF01420	PF11867	Very high	GO:0006304	BP	DNA modification	Type I restriction modification DNA specificity domain	13599	1658
PF02384	PF11867	Very high	GO:0006306	BP	DNA methylation	N-6 DNA Methylase	16788	1658
PF04313	PF11867	Very high	GO:0006304	BP	DNA modification	Type I restriction enzyme R protein N terminus (HSDR_N)	11974	1658
PF04851	PF11867	High	NA	NA	NA	Type III restriction enzyme, res subunit	26189	1658
PF12161	PF11867	Very high	NA	NA	NA	HsdM N-terminal domain	13065	1658
PF12344	PF11867	Low	NA	NA	NA	Ultra-violet resistance protein B	25640	1658
PF11269	PF11869	High	NA	NA	NA	Protein of unknown function (DUF3069)	336	4
PF11782	PF11869	Low	NA	NA	NA	Protein of unknown function (DUF3319)	297	4
PF02589	PF11870	High	NA	NA	NA	LUD domain	10540	3052
PF02754	PF11870	High	NA	NA	NA	Cysteine-rich domain	17264	3052
PF13183	PF11870	High	NA	NA	NA	4Fe-4S dicluster domain	20239	3052
PF12447	PF11880	High	NA	NA	NA	Protein of unknown function (DUF3683)	1613	3141
PF00187	PF11882	Very high	NA	NA	NA	Chitin recognition protein	1	336
PF00626	PF11882	Very high	NA	NA	NA	Gelsolin repeat	1	336
PF02187	PF11882	Very high	NA	NA	NA	Growth-Arrest-Specific Protein 2 Domain	1	336
PF02487	PF11882	Very high	NA	NA	NA	CLN3 protein	1	336
PF02714	PF11882	Very high	NA	NA	NA	Calcium-dependent channel, 7TM region, putative phosphate	1	336
PF03177	PF11882	Very high	NA	NA	NA	Non-repetitive/WGA-negative nucleoporin C-terminal	1	336
PF03345	PF11882	Very high	GO:0018279	BP	protein N-linked glycosylation via asparagine	Oligosaccharyltransferase 48 kDa subunit beta	1	336
PF03443	PF11882	Very high	NA	NA	NA	Glycosyl hydrolase family 61	1	336
PF03531	PF11882	Very high	NA	NA	NA	Structure-specific recognition protein (SSRP1)	1	336
PF03856	PF11882	Very high	NA	NA	NA	Beta-glucosidase (SUN family)	1	336
PF04000	PF11882	Very high	NA	NA	NA	Sas10/Utp3/C1D family	1	336
PF04811	PF11882	Very high	GO:0006886	BP	intracellular protein transport	Sec23/Sec24 trunk domain	1	336
PF04811	PF11882	Very high	GO:0006888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport	Sec23/Sec24 trunk domain	1	336
PF04815	PF11882	Very high	GO:0006886	BP	intracellular protein transport	Sec23/Sec24 helical domain	1	336
PF04815	PF11882	Very high	GO:0006888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport	Sec23/Sec24 helical domain	1	336
PF04874	PF11882	Very high	NA	NA	NA	Mak16 protein C-terminal region	1	336
PF04979	PF11882	Very high	GO:0043666	BP	regulation of phosphoprotein phosphatase activity	Protein phosphatase inhibitor 2 (IPP-2)	1	336
PF04979	PF11882	Very high	GO:0009966	BP	regulation of signal transduction	Protein phosphatase inhibitor 2 (IPP-2)	1	336
PF05132	PF11882	Very high	GO:0006383	BP	transcription by RNA polymerase III	RNA polymerase III RPC4	1	336
PF05773	PF11882	Very high	NA	NA	NA	RWD domain	1	336
PF07923	PF11882	Very high	NA	NA	NA	N1221-like protein	1	336
PF08276	PF11882	Very high	NA	NA	NA	PAN-like domain	1	336
PF08568	PF11882	Very high	NA	NA	NA	Uncharacterised protein family, YAP/Alf4/glomulin	1	336
PF08619	PF11882	Very high	GO:0006814	BP	sodium ion transport	Alkali metal cation/H+ antiporter Nha1 C terminus	1	336
PF08642	PF11882	Very high	GO:0016575	BP	histone deacetylation	Histone deacetylation protein Rxt3	1	336
PF08699	PF11882	Very high	NA	NA	NA	Argonaute linker 1 domain	1	336
PF09428	PF11882	Very high	NA	NA	NA	Fungal protein of unknown function (DUF2011)	1	336
PF09809	PF11882	Very high	NA	NA	NA	Mitochondrial ribosomal protein L27	1	336
PF10159	PF11882	Very high	NA	NA	NA	Multiple myeloma tumor-associated	1	336
PF10165	PF11882	Very high	NA	NA	NA	Guanine nucleotide exchange factor synembryn	1	336
PF11764	PF11882	Very high	NA	NA	NA	COMPASS (Complex proteins associated with Set1p) component N	1	336
PF11917	PF11882	Very high	NA	NA	NA	Protein of unknown function (DUF3435)	1	336
PF12621	PF11882	Very high	NA	NA	NA	Extracellular tail, of 10TM putative phosphate transporter	1	336
PF12935	PF11882	Very high	NA	NA	NA	Vesicle coat trafficking protein Sec16 N-terminus	1	336
PF13299	PF11882	Very high	NA	NA	NA	Cleavage and polyadenylation factor 2 C-terminal	1	336
PF13967	PF11882	Very high	NA	NA	NA	Late exocytosis, associated with Golgi transport	1	336
PF14475	PF11882	Very high	NA	NA	NA	Sec1-binding region of Mso1	1	336
PF14479	PF11882	Very high	NA	NA	NA	Prion-inhibition and propagation	1	336
PF14661	PF11882	Very high	NA	NA	NA	HAUS augmin-like complex subunit 6 N-terminus	1	336
PF14703	PF11882	Very high	NA	NA	NA	Cytosolic domain of 10TM putative phosphate transporter	1	336
PF14737	PF11882	Very high	NA	NA	NA	Domain of unknown function (DUF4470)	1	336
PF15474	PF11882	Very high	NA	NA	NA	Meiotically up-regulated gene family	1	336
PF11060	PF11884	High	NA	NA	NA	Protein of unknown function (DUF2861)	323	NA
PF07863	PF11888	Low	NA	NA	NA	Homologues of TraJ from Bacteroides conjugative transposon	713	3140
PF08989	PF11888	High	NA	NA	NA	Domain of unknown function (DUF1896)	495	3140
PF10626	PF11888	High	NA	NA	NA	Conjugative transposon protein TraO	558	3140
PF12988	PF11888	High	NA	NA	NA	Domain of unknown function, B. Theta Gene description (DUF3872)	530	3140
PF13351	PF11888	Low	NA	NA	NA	Protein of unknown function (DUF4099)	688	3140
PF14293	PF11888	Low	NA	NA	NA	YWFCY protein	726	3140
PF14793	PF11892	High	NA	NA	NA	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidases	3138	457
PF00128	PF11896	Low	GO:0005975	BP	carbohydrate metabolic process	Alpha amylase, catalytic domain	20159	759
PF00343	PF11897	Low	GO:0005975	BP	carbohydrate metabolic process	Carbohydrate phosphorylase	15461	897
PF07717	PF11898	High	NA	NA	NA	Oligonucleotide/oligosaccharide-binding (OB)-fold	8829	560
PF00154	PF11907	Low	GO:0006281	BP	DNA repair	recA bacterial DNA recombination protein	26266	407
PF00403	PF11907	Low	GO:0030001	BP	metal ion transport	Heavy-metal-associated domain	23310	407
PF00438	PF11907	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, N-terminal domain	24472	407
PF00584	PF11907	Low	GO:0006886	BP	intracellular protein transport	SecE/Sec61-gamma subunits of protein translocation complex	24378	407
PF00584	PF11907	Low	GO:0006605	BP	protein targeting	SecE/Sec61-gamma subunits of protein translocation complex	24378	407
PF00712	PF11907	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, N-terminal domain	25759	407
PF00763	PF11907	Low	GO:0055114	BP	oxidation-reduction process	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	25400	407
PF00817	PF11907	Low	GO:0006281	BP	DNA repair	impB/mucB/samB family	23225	407
PF01018	PF11907	Low	NA	NA	NA	GTP1/OBG	25327	407
PF01043	PF11907	Low	GO:0017038	BP	protein import	SecA preprotein cross-linking domain	25739	407
PF01197	PF11907	Low	GO:0006412	BP	translation	Ribosomal protein L31	25995	407
PF01367	PF11907	Low	NA	NA	NA	5'-3' exonuclease, C-terminal SAM fold	25972	407
PF01381	PF11907	Low	NA	NA	NA	Helix-turn-helix	24979	407
PF01632	PF11907	Low	GO:0006412	BP	translation	Ribosomal protein L35	25501	407
PF01668	PF11907	Low	NA	NA	NA	SmpB protein	25791	407
PF02357	PF11907	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Transcription termination factor nusG	25645	407
PF02739	PF11907	Low	NA	NA	NA	5'-3' exonuclease, N-terminal resolvase-like domain	26057	407
PF02767	PF11907	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, central domain	25805	407
PF02768	PF11907	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, C-terminal domain	25904	407
PF02772	PF11907	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, central domain	24552	407
PF02773	PF11907	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, C-terminal domain	24800	407
PF04851	PF11907	Low	NA	NA	NA	Type III restriction enzyme, res subunit	26189	407
PF05697	PF11907	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF)	25651	407
PF05697	PF11907	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF)	25651	407
PF06071	PF11907	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	407
PF07516	PF11907	Low	GO:0017038	BP	protein import	SecA Wing and Scaffold domain	26154	407
PF11799	PF11907	Low	GO:0006281	BP	DNA repair	impB/mucB/samB family C-terminal domain	22701	407
PF12002	PF11907	Low	NA	NA	NA	MgsA AAA+ ATPase C terminal	23933	407
PF12344	PF11907	Low	NA	NA	NA	Ultra-violet resistance protein B	25640	407
PF13091	PF11907	Very high	NA	NA	NA	PLD-like domain	20636	407
PF00187	PF11917	Very high	NA	NA	NA	Chitin recognition protein	1	NA
PF00626	PF11917	Very high	NA	NA	NA	Gelsolin repeat	1	NA
PF02187	PF11917	Very high	NA	NA	NA	Growth-Arrest-Specific Protein 2 Domain	1	NA
PF02487	PF11917	Very high	NA	NA	NA	CLN3 protein	1	NA
PF02714	PF11917	Very high	NA	NA	NA	Calcium-dependent channel, 7TM region, putative phosphate	1	NA
PF03177	PF11917	Very high	NA	NA	NA	Non-repetitive/WGA-negative nucleoporin C-terminal	1	NA
PF03345	PF11917	Very high	GO:0018279	BP	protein N-linked glycosylation via asparagine	Oligosaccharyltransferase 48 kDa subunit beta	1	NA
PF03443	PF11917	Very high	NA	NA	NA	Glycosyl hydrolase family 61	1	NA
PF03531	PF11917	Very high	NA	NA	NA	Structure-specific recognition protein (SSRP1)	1	NA
PF03856	PF11917	Very high	NA	NA	NA	Beta-glucosidase (SUN family)	1	NA
PF04000	PF11917	Very high	NA	NA	NA	Sas10/Utp3/C1D family	1	NA
PF04811	PF11917	Very high	GO:0006886	BP	intracellular protein transport	Sec23/Sec24 trunk domain	1	NA
PF04811	PF11917	Very high	GO:0006888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport	Sec23/Sec24 trunk domain	1	NA
PF04815	PF11917	Very high	GO:0006886	BP	intracellular protein transport	Sec23/Sec24 helical domain	1	NA
PF04815	PF11917	Very high	GO:0006888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport	Sec23/Sec24 helical domain	1	NA
PF04874	PF11917	Very high	NA	NA	NA	Mak16 protein C-terminal region	1	NA
PF04979	PF11917	Very high	GO:0043666	BP	regulation of phosphoprotein phosphatase activity	Protein phosphatase inhibitor 2 (IPP-2)	1	NA
PF04979	PF11917	Very high	GO:0009966	BP	regulation of signal transduction	Protein phosphatase inhibitor 2 (IPP-2)	1	NA
PF05132	PF11917	Very high	GO:0006383	BP	transcription by RNA polymerase III	RNA polymerase III RPC4	1	NA
PF05773	PF11917	Very high	NA	NA	NA	RWD domain	1	NA
PF07923	PF11917	Very high	NA	NA	NA	N1221-like protein	1	NA
PF08276	PF11917	Very high	NA	NA	NA	PAN-like domain	1	NA
PF08568	PF11917	Very high	NA	NA	NA	Uncharacterised protein family, YAP/Alf4/glomulin	1	NA
PF08619	PF11917	Very high	GO:0006814	BP	sodium ion transport	Alkali metal cation/H+ antiporter Nha1 C terminus	1	NA
PF08642	PF11917	Very high	GO:0016575	BP	histone deacetylation	Histone deacetylation protein Rxt3	1	NA
PF08699	PF11917	Very high	NA	NA	NA	Argonaute linker 1 domain	1	NA
PF09428	PF11917	Very high	NA	NA	NA	Fungal protein of unknown function (DUF2011)	1	NA
PF09809	PF11917	Very high	NA	NA	NA	Mitochondrial ribosomal protein L27	1	NA
PF10159	PF11917	Very high	NA	NA	NA	Multiple myeloma tumor-associated	1	NA
PF10165	PF11917	Very high	NA	NA	NA	Guanine nucleotide exchange factor synembryn	1	NA
PF11764	PF11917	Very high	NA	NA	NA	COMPASS (Complex proteins associated with Set1p) component N	1	NA
PF11882	PF11917	Very high	NA	NA	NA	Domain of unknown function (DUF3402)	1	NA
PF12621	PF11917	Very high	NA	NA	NA	Extracellular tail, of 10TM putative phosphate transporter	1	NA
PF12935	PF11917	Very high	NA	NA	NA	Vesicle coat trafficking protein Sec16 N-terminus	1	NA
PF13299	PF11917	Very high	NA	NA	NA	Cleavage and polyadenylation factor 2 C-terminal	1	NA
PF13967	PF11917	Very high	NA	NA	NA	Late exocytosis, associated with Golgi transport	1	NA
PF14475	PF11917	Very high	NA	NA	NA	Sec1-binding region of Mso1	1	NA
PF14479	PF11917	Very high	NA	NA	NA	Prion-inhibition and propagation	1	NA
PF14661	PF11917	Very high	NA	NA	NA	HAUS augmin-like complex subunit 6 N-terminus	1	NA
PF14703	PF11917	Very high	NA	NA	NA	Cytosolic domain of 10TM putative phosphate transporter	1	NA
PF14737	PF11917	Very high	NA	NA	NA	Domain of unknown function (DUF4470)	1	NA
PF15474	PF11917	Very high	NA	NA	NA	Meiotically up-regulated gene family	1	NA
PF07511	PF11920	High	NA	NA	NA	Protein of unknown function (DUF1525)	610	747
PF07515	PF11920	High	NA	NA	NA	Putative conjugal transfer nickase/helicase TraI C-term	814	747
PF08900	PF11920	High	NA	NA	NA	Domain of unknown function (DUF1845)	793	747
PF09686	PF11920	High	NA	NA	NA	Plasmid protein of unknown function (Plasmid_RAQPRD)	676	747
PF11072	PF11920	High	NA	NA	NA	Protein of unknown function (DUF2859)	728	747
PF11190	PF11920	Very high	NA	NA	NA	Protein of unknown function (DUF2976)	660	747
PF11198	PF11920	High	NA	NA	NA	Protein of unknown function (DUF2857)	767	747
PF11358	PF11920	Low	NA	NA	NA	Protein of unknown function (DUF3158)	451	747
PF11444	PF11920	Very high	NA	NA	NA	Protein of unknown function (DUF2895)	750	747
PF11660	PF11920	High	NA	NA	NA	Protein of unknown function (DUF3262)	669	747
PF11990	PF11920	Very high	NA	NA	NA	Protein of unknown function (DUF3487)	726	747
PF12101	PF11920	High	NA	NA	NA	Protein of unknown function (DUF3577)	686	747
PF14348	PF11920	High	NA	NA	NA	Domain of unknown function (DUF4400)	1112	747
PF11005	PF11925	Very high	NA	NA	NA	Protein of unknown function (DUF2844)	356	1202
PF08059	PF11935	Very high	NA	NA	NA	SEP domain	1	1323
PF00128	PF11941	High	GO:0005975	BP	carbohydrate metabolic process	Alpha amylase, catalytic domain	20159	2355
PF00283	PF11947	Low	GO:0015979	BP	photosynthesis	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits	393	2812
PF00284	PF11947	Low	GO:0015979	BP	photosynthesis	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit	391	2812
PF06485	PF11947	Low	NA	NA	NA	RNA-binding protein Tab2/Atab2	400	2812
PF08846	PF11947	Low	NA	NA	NA	Domain of unknown function (DUF1816)	389	2812
PF10674	PF11947	Low	NA	NA	NA	Protein of unknown function (DUF2488)	380	2812
PF10726	PF11947	High	NA	NA	NA	Protein of function (DUF2518)	393	2812
PF11016	PF11947	Low	NA	NA	NA	Protein of unknown function (DUF2854)	399	2812
PF11317	PF11947	Low	NA	NA	NA	Protein of unknown function (DUF3119)	393	2812
PF11332	PF11947	Low	NA	NA	NA	Protein of unknown function (DUF3134)	399	2812
PF11344	PF11947	Low	NA	NA	NA	Protein of unknown function (DUF3146)	385	2812
PF11347	PF11947	Low	NA	NA	NA	Protein of unknown function (DUF3148)	381	2812
PF12452	PF11947	Low	NA	NA	NA	Protein of unknown function (DUF3685)	396	2812
PF12527	PF11947	Low	NA	NA	NA	Protein of unknown function (DUF3727)	403	2812
PF00144	PF11954	High	NA	NA	NA	Beta-lactamase	18971	2958
PF01522	PF11959	High	GO:0005975	BP	carbohydrate metabolic process	Polysaccharide deacetylase	21740	394
PF03145	PF11961	Very high	GO:0006511	BP	ubiquitin-dependent protein catabolic process	Seven in absentia protein family	1	NA
PF03145	PF11961	Very high	GO:0007275	BP	multicellular organism development	Seven in absentia protein family	1	NA
PF00124	PF11965	High	GO:0009772	BP	photosynthetic electron transport in photosystem II	Photosynthetic reaction centre protein	1037	866
PF00124	PF11965	High	GO:0019684	BP	photosynthesis, light reaction	Photosynthetic reaction centre protein	1037	866
PF00556	PF11965	High	GO:0019684	BP	photosynthesis, light reaction	Antenna complex alpha/beta subunit	612	866
PF03967	PF11965	High	GO:0019684	BP	photosynthesis, light reaction	Photosynthetic reaction centre, H-chain N-terminal region	611	866
PF07109	PF11965	High	GO:0015995	BP	chlorophyll biosynthetic process	Magnesium-protoporphyrin IX methyltransferase C-terminus	1046	866
PF07284	PF11965	High	GO:0030494	BP	bacteriochlorophyll biosynthetic process	2-vinyl bacteriochlorophyllide hydratase (BCHF)	651	866
PF07284	PF11965	High	GO:0019685	BP	photosynthesis, dark reaction	2-vinyl bacteriochlorophyllide hydratase (BCHF)	651	866
PF08369	PF11965	Low	GO:0055114	BP	oxidation-reduction process	Proto-chlorophyllide reductase 57 kD subunit	1512	866
PF08369	PF11965	Low	GO:0015995	BP	chlorophyll biosynthetic process	Proto-chlorophyllide reductase 57 kD subunit	1512	866
PF08369	PF11965	Low	GO:0015979	BP	photosynthesis	Proto-chlorophyllide reductase 57 kD subunit	1512	866
PF12291	PF11965	High	NA	NA	NA	Protein of unknown function (DUF3623)	647	866
PF11067	PF11981	High	NA	NA	NA	Protein of unknown function (DUF2868)	1680	1573
PF09721	PF11984	Low	NA	NA	NA	Transmembrane exosortase (Exosortase_EpsH)	4176	80
PF06252	PF11985	High	NA	NA	NA	Protein of unknown function (DUF1018)	1340	1210
PF13401	PF11985	High	NA	NA	NA	AAA domain	11136	1210
PF07511	PF11990	High	NA	NA	NA	Protein of unknown function (DUF1525)	610	399
PF07515	PF11990	High	NA	NA	NA	Putative conjugal transfer nickase/helicase TraI C-term	814	399
PF08900	PF11990	High	NA	NA	NA	Domain of unknown function (DUF1845)	793	399
PF09686	PF11990	Very high	NA	NA	NA	Plasmid protein of unknown function (Plasmid_RAQPRD)	676	399
PF11072	PF11990	High	NA	NA	NA	Protein of unknown function (DUF2859)	728	399
PF11190	PF11990	Very high	NA	NA	NA	Protein of unknown function (DUF2976)	660	399
