KO	DUF	CS	Pathway	Description	KODescription	KOCount	DUFCount
K02123	PF10962	Low	map01100	Metabolic pathways	ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I	3583	19
K02124	PF10962	Low	map00190	Oxidative phosphorylation	ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K	3635	19
K02124	PF10962	Low	map01100	Metabolic pathways	ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K	3635	19
K02714	PF10999	Low	map00195	Photosynthesis	psbM; photosystem II PsbM protein	332	261
K00102	PF11000	Low	map00620	Pyruvate metabolism	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	9027	4259
K00102	PF11000	Low	map01100	Metabolic pathways	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	9027	4259
K00799	PF11000	Low	map00480	Glutathione metabolism	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	4259
K00799	PF11000	Low	map00980	Metabolism of xenobiotics by cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	4259
K00799	PF11000	Low	map00982	Drug metabolism - cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	4259
K00799	PF11000	Low	map00983	Drug metabolism - other enzymes	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	4259
K00799	PF11000	Low	map01100	Metabolic pathways	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	4259
K00799	PF11000	Low	map01524	Platinum drug resistance	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	4259
K00799	PF11000	Low	map05200	Pathways in cancer	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	4259
K00799	PF11000	Low	map05204	Chemical carcinogenesis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	4259
K00799	PF11000	Low	map05225	Hepatocellular carcinoma	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	4259
K00799	PF11000	Low	map05418	Fluid shear stress and atherosclerosis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	4259
K01139	PF11000	Low	map00230	Purine metabolism	spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	10693	4259
K01139	PF11000	Low	map01100	Metabolic pathways	spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	10693	4259
K03071	PF11000	Low	map02024	Quorum sensing	secB; preprotein translocase subunit SecB	8783	4259
K03071	PF11000	Low	map03060	Protein export	secB; preprotein translocase subunit SecB	8783	4259
K03071	PF11000	Low	map03070	Bacterial secretion system	secB; preprotein translocase subunit SecB	8783	4259
K03185	PF11000	Low	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]	9043	4259
K03185	PF11000	Low	map01100	Metabolic pathways	ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]	9043	4259
K03185	PF11000	Low	map01110	Biosynthesis of secondary metabolites	ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]	9043	4259
K03205	PF11000	High	map03070	Bacterial secretion system	virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]	5455	4259
K03566	PF11000	Low	map02026	Biofilm formation - Escherichia coli	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator	8976	4259
K07344	PF11000	High	map02024	Quorum sensing	trbL; type IV secretion system protein TrbL	1644	4259
K08311	PF11000	Low	map03018	RNA degradation	nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]	9701	4259
K20266	PF11000	High	map02024	Quorum sensing	trbJ; type IV secretion system protein TrbJ	1828	4259
K20527	PF11000	High	map02024	Quorum sensing	trbB; type IV secretion system protein TrbB [EC:7.4.2.8]	1731	4259
K20528	PF11000	High	map02024	Quorum sensing	trbC; type IV secretion system protein TrbC	1721	4259
K20529	PF11000	High	map02024	Quorum sensing	trbD; type IV secretion system protein TrbD	1698	4259
K20530	PF11000	High	map02024	Quorum sensing	trbE; type IV secretion system protein TrbE [EC:7.4.2.8]	1806	4259
K20531	PF11000	High	map02024	Quorum sensing	trbF; type IV secretion system protein TrbF	1800	4259
K20532	PF11000	High	map02024	Quorum sensing	trbG; type IV secretion system protein TrbG	2241	4259
K20533	PF11000	High	map02024	Quorum sensing	trbI; type IV secretion system protein TrbI	1923	4259
K10922	PF11012	High	map05111	Biofilm formation - Vibrio cholerae	toxS; transmembrane regulatory protein ToxS	263	3141
K02092	PF11016	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	NA
K02092	PF11016	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	NA
K02093	PF11016	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	NA
K02093	PF11016	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	NA
K02094	PF11016	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	NA
K02094	PF11016	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	NA
K02095	PF11016	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	NA
K02095	PF11016	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	NA
K02096	PF11016	High	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	NA
K02096	PF11016	High	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	NA
K02097	PF11016	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	NA
K02097	PF11016	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	NA
K02284	PF11016	High	map00196	Photosynthesis - antenna proteins	cpcA; phycocyanin alpha chain	343	NA
K02284	PF11016	High	map01100	Metabolic pathways	cpcA; phycocyanin alpha chain	343	NA
K02285	PF11016	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	NA
K02285	PF11016	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	NA
K02286	PF11016	High	map00196	Photosynthesis - antenna proteins	cpcC; phycocyanin-associated rod linker protein	337	NA
K02286	PF11016	High	map01100	Metabolic pathways	cpcC; phycocyanin-associated rod linker protein	337	NA
K02288	PF11016	High	map00196	Photosynthesis - antenna proteins	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	301	NA
K02288	PF11016	High	map01100	Metabolic pathways	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	301	NA
K02289	PF11016	High	map00196	Photosynthesis - antenna proteins	cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]	301	NA
K02289	PF11016	High	map01100	Metabolic pathways	cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]	301	NA
K02290	PF11016	High	map00196	Photosynthesis - antenna proteins	cpcG; phycobilisome rod-core linker protein	332	NA
K02290	PF11016	High	map01100	Metabolic pathways	cpcG; phycobilisome rod-core linker protein	332	NA
K02628	PF11016	High	map00196	Photosynthesis - antenna proteins	pecA; phycoerythrocyanin alpha chain	332	NA
K02628	PF11016	High	map01100	Metabolic pathways	pecA; phycoerythrocyanin alpha chain	332	NA
K02629	PF11016	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	NA
K02629	PF11016	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	NA
K02630	PF11016	High	map00196	Photosynthesis - antenna proteins	pecC; phycoerythrocyanin-associated rod linker protein	309	NA
K02630	PF11016	High	map01100	Metabolic pathways	pecC; phycoerythrocyanin-associated rod linker protein	309	NA
K02631	PF11016	Low	map00196	Photosynthesis - antenna proteins	pecE; phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	292	NA
K02631	PF11016	Low	map01100	Metabolic pathways	pecE; phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	292	NA
K02634	PF11016	High	map00195	Photosynthesis	petA; apocytochrome f	402	NA
K02634	PF11016	High	map01100	Metabolic pathways	petA; apocytochrome f	402	NA
K02643	PF11016	High	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	NA
K02643	PF11016	High	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	NA
K02689	PF11016	High	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	NA
K02689	PF11016	High	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	NA
K02690	PF11016	High	map00195	Photosynthesis	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	NA
K02690	PF11016	High	map01100	Metabolic pathways	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	NA
K02691	PF11016	High	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	NA
K02691	PF11016	High	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	NA
K02692	PF11016	High	map00195	Photosynthesis	psaD; photosystem I subunit II	401	NA
K02692	PF11016	High	map01100	Metabolic pathways	psaD; photosystem I subunit II	401	NA
K02693	PF11016	High	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	NA
K02693	PF11016	High	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	NA
K02694	PF11016	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	NA
K02694	PF11016	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	NA
K02697	PF11016	High	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	NA
K02699	PF11016	High	map00195	Photosynthesis	psaL; photosystem I subunit XI	400	NA
K02704	PF11016	High	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	NA
K02704	PF11016	High	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	NA
K02705	PF11016	High	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	NA
K02705	PF11016	High	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	NA
K02707	PF11016	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	NA
K02707	PF11016	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	NA
K02708	PF11016	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	NA
K02708	PF11016	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	NA
K02709	PF11016	High	map00195	Photosynthesis	psbH; photosystem II PsbH protein	389	NA
K02711	PF11016	High	map00195	Photosynthesis	psbJ; photosystem II PsbJ protein	265	NA
K02712	PF11016	High	map00195	Photosynthesis	psbK; photosystem II PsbK protein	348	NA
K02713	PF11016	High	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	NA
K02714	PF11016	Low	map00195	Photosynthesis	psbM; photosystem II PsbM protein	332	NA
K02716	PF11016	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	NA
K02717	PF11016	High	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	NA
K02718	PF11016	High	map00195	Photosynthesis	psbT; photosystem II PsbT protein	310	NA
K02719	PF11016	High	map00195	Photosynthesis	psbU; photosystem II PsbU protein	337	NA
K02720	PF11016	High	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	NA
K02722	PF11016	Low	map00195	Photosynthesis	psbX; photosystem II PsbX protein	325	NA
K02723	PF11016	Low	map00195	Photosynthesis	psbY; photosystem II PsbY protein	332	NA
K02724	PF11016	Low	map00195	Photosynthesis	psbZ; photosystem II PsbZ protein	376	NA
K05370	PF11016	High	map00860	Porphyrin and chlorophyll metabolism	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	NA
K05370	PF11016	High	map01110	Biosynthesis of secondary metabolites	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	NA
K05377	PF11016	High	map00196	Photosynthesis - antenna proteins	cpeB, mpeB; phycoerythrin beta chain	208	NA
K05377	PF11016	High	map01100	Metabolic pathways	cpeB, mpeB; phycoerythrin beta chain	208	NA
K05378	PF11016	Low	map00196	Photosynthesis - antenna proteins	cpeC, mpeC; phycoerythrin-associated linker protein	344	NA
K05378	PF11016	Low	map01100	Metabolic pathways	cpeC, mpeC; phycoerythrin-associated linker protein	344	NA
K05379	PF11016	Low	map00196	Photosynthesis - antenna proteins	cpeD, mpeD; phycoerythrin-associated linker protein	213	NA
K05379	PF11016	Low	map01100	Metabolic pathways	cpeD, mpeD; phycoerythrin-associated linker protein	213	NA
K05380	PF11016	High	map00196	Photosynthesis - antenna proteins	cpeE; phycoerythrin-associated linker protein	250	NA
K05380	PF11016	High	map01100	Metabolic pathways	cpeE; phycoerythrin-associated linker protein	250	NA
K05382	PF11016	High	map00196	Photosynthesis - antenna proteins	cpeS; phycoerythrin-associated linker protein	395	NA
K05382	PF11016	High	map01100	Metabolic pathways	cpeS; phycoerythrin-associated linker protein	395	NA
K05584	PF11016	High	map00190	Oxidative phosphorylation	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	396	NA
K05584	PF11016	High	map01100	Metabolic pathways	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	396	NA
K05585	PF11016	High	map00190	Oxidative phosphorylation	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	NA
K05585	PF11016	High	map01100	Metabolic pathways	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	NA
K08902	PF11016	High	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	NA
K08903	PF11016	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	NA
K02092	PF11061	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	816
K02092	PF11061	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	816
K02096	PF11061	Low	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	816
K02096	PF11061	Low	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	816
K02285	PF11061	Low	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	816
K02285	PF11061	Low	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	816
K02288	PF11061	Low	map00196	Photosynthesis - antenna proteins	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	301	816
K02288	PF11061	Low	map01100	Metabolic pathways	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	301	816
K02629	PF11061	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	816
K02629	PF11061	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	816
K02630	PF11061	Low	map00196	Photosynthesis - antenna proteins	pecC; phycoerythrocyanin-associated rod linker protein	309	816
K02630	PF11061	Low	map01100	Metabolic pathways	pecC; phycoerythrocyanin-associated rod linker protein	309	816
K02631	PF11061	Low	map00196	Photosynthesis - antenna proteins	pecE; phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	292	816
K02631	PF11061	Low	map01100	Metabolic pathways	pecE; phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	292	816
K02694	PF11061	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	816
K02694	PF11061	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	816
K02696	PF11061	Low	map00195	Photosynthesis	psaI; photosystem I subunit VIII	305	816
K02697	PF11061	High	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	816
K02698	PF11061	High	map00195	Photosynthesis	psaK; photosystem I subunit X	402	816
K02699	PF11061	Low	map00195	Photosynthesis	psaL; photosystem I subunit XI	400	816
K02700	PF11061	Low	map00195	Photosynthesis	psaM; photosystem I subunit XII	285	816
K02705	PF11061	Low	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	816
K02705	PF11061	Low	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	816
K02707	PF11061	Low	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	816
K02707	PF11061	Low	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	816
K02708	PF11061	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	816
K02708	PF11061	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	816
K02714	PF11061	Low	map00195	Photosynthesis	psbM; photosystem II PsbM protein	332	816
K02720	PF11061	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	816
K02722	PF11061	Low	map00195	Photosynthesis	psbX; photosystem II PsbX protein	325	816
K02723	PF11061	High	map00195	Photosynthesis	psbY; photosystem II PsbY protein	332	816
K02724	PF11061	High	map00195	Photosynthesis	psbZ; photosystem II PsbZ protein	376	816
K05585	PF11061	Low	map00190	Oxidative phosphorylation	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	816
K05585	PF11061	Low	map01100	Metabolic pathways	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	816
K08902	PF11061	High	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	816
K02169	PF11072	Low	map00780	Biotin metabolism	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]	9044	504
K02169	PF11072	Low	map01100	Metabolic pathways	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]	9044	504
K02487	PF11072	Very high	map02020	Two-component system	pilL; type IV pili sensor histidine kinase and response regulator	911	504
K03071	PF11072	Low	map02024	Quorum sensing	secB; preprotein translocase subunit SecB	8783	504
K03071	PF11072	Low	map03060	Protein export	secB; preprotein translocase subunit SecB	8783	504
K03071	PF11072	Low	map03070	Bacterial secretion system	secB; preprotein translocase subunit SecB	8783	504
K07323	PF11072	Low	map02010	ABC transporters	mlaC; phospholipid transport system substrate-binding protein	7779	504
K08218	PF11072	Low	map01501	beta-Lactam resistance	ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	9360	504
K03888	PF11117	High	map00190	Oxidative phosphorylation	MQCRC, qcrC, bfcC, petD; menaquinol-cytochrome c reductase cytochrome b/c subunit	1224	694
K03888	PF11117	High	map01100	Metabolic pathways	MQCRC, qcrC, bfcC, petD; menaquinol-cytochrome c reductase cytochrome b/c subunit	1224	694
K03888	PF11118	High	map00190	Oxidative phosphorylation	MQCRC, qcrC, bfcC, petD; menaquinol-cytochrome c reductase cytochrome b/c subunit	1224	393
K03888	PF11118	High	map01100	Metabolic pathways	MQCRC, qcrC, bfcC, petD; menaquinol-cytochrome c reductase cytochrome b/c subunit	1224	393
K02258	PF11137	Low	map00190	Oxidative phosphorylation	COX11, ctaG; cytochrome c oxidase assembly protein subunit 11	6060	292
K02258	PF11137	Low	map01100	Metabolic pathways	COX11, ctaG; cytochrome c oxidase assembly protein subunit 11	6060	292
K02258	PF11137	Low	map04714	Thermogenesis	COX11, ctaG; cytochrome c oxidase assembly protein subunit 11	6060	292
K00799	PF11162	Low	map00480	Glutathione metabolism	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	954
K00799	PF11162	Low	map00980	Metabolism of xenobiotics by cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	954
K00799	PF11162	Low	map00982	Drug metabolism - cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	954
K00799	PF11162	Low	map00983	Drug metabolism - other enzymes	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	954
K00799	PF11162	Low	map01100	Metabolic pathways	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	954
K00799	PF11162	Low	map01524	Platinum drug resistance	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	954
K00799	PF11162	Low	map05200	Pathways in cancer	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	954
K00799	PF11162	Low	map05204	Chemical carcinogenesis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	954
K00799	PF11162	Low	map05225	Hepatocellular carcinoma	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	954
K00799	PF11162	Low	map05418	Fluid shear stress and atherosclerosis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	954
K00687	PF11184	High	map00550	Peptidoglycan biosynthesis	pbp2B, penA; penicillin-binding protein 2B	903	317
K00687	PF11184	High	map01100	Metabolic pathways	pbp2B, penA; penicillin-binding protein 2B	903	317
K00687	PF11184	High	map01501	beta-Lactam resistance	pbp2B, penA; penicillin-binding protein 2B	903	317
K12556	PF11184	High	map00550	Peptidoglycan biosynthesis	pbp2X; penicillin-binding protein 2X	757	317
K12556	PF11184	High	map01100	Metabolic pathways	pbp2X; penicillin-binding protein 2X	757	317
K12556	PF11184	High	map01501	beta-Lactam resistance	pbp2X; penicillin-binding protein 2X	757	317
K02487	PF11190	High	map02020	Two-component system	pilL; type IV pili sensor histidine kinase and response regulator	911	228
K03071	PF11190	Low	map02024	Quorum sensing	secB; preprotein translocase subunit SecB	8783	228
K03071	PF11190	Low	map03060	Protein export	secB; preprotein translocase subunit SecB	8783	228
K03071	PF11190	Low	map03070	Bacterial secretion system	secB; preprotein translocase subunit SecB	8783	228
K08218	PF11190	Low	map01501	beta-Lactam resistance	ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	9360	228
K02169	PF11198	Low	map00780	Biotin metabolism	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]	9044	8
K02169	PF11198	Low	map01100	Metabolic pathways	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]	9044	8
K02487	PF11198	High	map02020	Two-component system	pilL; type IV pili sensor histidine kinase and response regulator	911	8
K03071	PF11198	Low	map02024	Quorum sensing	secB; preprotein translocase subunit SecB	8783	8
K03071	PF11198	Low	map03060	Protein export	secB; preprotein translocase subunit SecB	8783	8
K03071	PF11198	Low	map03070	Bacterial secretion system	secB; preprotein translocase subunit SecB	8783	8
K07323	PF11198	Low	map02010	ABC transporters	mlaC; phospholipid transport system substrate-binding protein	7779	8
K08218	PF11198	Low	map01501	beta-Lactam resistance	ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	9360	8
K08311	PF11198	Low	map03018	RNA degradation	nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]	9701	8
K02094	PF11210	Low	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	494
K02094	PF11210	Low	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	494
K02285	PF11210	Low	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	494
K02285	PF11210	Low	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	494
K02288	PF11210	High	map00196	Photosynthesis - antenna proteins	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	301	494
K02288	PF11210	High	map01100	Metabolic pathways	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	301	494
K02289	PF11210	Low	map00196	Photosynthesis - antenna proteins	cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]	301	494
K02289	PF11210	Low	map01100	Metabolic pathways	cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]	301	494
K02630	PF11210	High	map00196	Photosynthesis - antenna proteins	pecC; phycoerythrocyanin-associated rod linker protein	309	494
K02630	PF11210	High	map01100	Metabolic pathways	pecC; phycoerythrocyanin-associated rod linker protein	309	494
K02631	PF11210	High	map00196	Photosynthesis - antenna proteins	pecE; phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	292	494
K02631	PF11210	High	map01100	Metabolic pathways	pecE; phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	292	494
K02643	PF11210	Low	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	494
K02643	PF11210	Low	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	494
K02689	PF11210	Low	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	494
K02689	PF11210	Low	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	494
K02691	PF11210	High	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	494
K02691	PF11210	High	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	494
K02694	PF11210	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	494
K02694	PF11210	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	494
K02697	PF11210	Low	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	494
K02705	PF11210	Low	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	494
K02705	PF11210	Low	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	494
K02706	PF11210	High	map00195	Photosynthesis	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	494
K02706	PF11210	High	map01100	Metabolic pathways	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	494
K02707	PF11210	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	494
K02707	PF11210	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	494
K02708	PF11210	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	494
K02708	PF11210	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	494
K02710	PF11210	High	map00195	Photosynthesis	psbI; photosystem II PsbI protein	251	494
K02711	PF11210	High	map00195	Photosynthesis	psbJ; photosystem II PsbJ protein	265	494
K02712	PF11210	Low	map00195	Photosynthesis	psbK; photosystem II PsbK protein	348	494
K02713	PF11210	High	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	494
K02714	PF11210	High	map00195	Photosynthesis	psbM; photosystem II PsbM protein	332	494
K02716	PF11210	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	494
K02722	PF11210	Low	map00195	Photosynthesis	psbX; photosystem II PsbX protein	325	494
K05370	PF11210	High	map00860	Porphyrin and chlorophyll metabolism	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	494
K05370	PF11210	High	map01110	Biosynthesis of secondary metabolites	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	494
K05377	PF11210	Low	map00196	Photosynthesis - antenna proteins	cpeB, mpeB; phycoerythrin beta chain	208	494
K05377	PF11210	Low	map01100	Metabolic pathways	cpeB, mpeB; phycoerythrin beta chain	208	494
K05380	PF11210	Low	map00196	Photosynthesis - antenna proteins	cpeE; phycoerythrin-associated linker protein	250	494
K05380	PF11210	Low	map01100	Metabolic pathways	cpeE; phycoerythrin-associated linker protein	250	494
K05382	PF11210	Low	map00196	Photosynthesis - antenna proteins	cpeS; phycoerythrin-associated linker protein	395	494
K05382	PF11210	Low	map01100	Metabolic pathways	cpeS; phycoerythrin-associated linker protein	395	494
K05583	PF11210	Low	map00190	Oxidative phosphorylation	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	494
K05583	PF11210	Low	map01100	Metabolic pathways	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	494
